"","Tx","ty","Model","ParamSensitivity","ParamSpecificity","p_ty","dp_ty","FI_Tx"
"1",0,0,"Group-level",1,1,1,-0.173404483054693,0.0300691147434652
"2",0,1,"Group-level",1,1,0,NA,0.0300691147434652
"3",0,2,"Group-level",1,1,0,NA,0.0300691147434652
"4",0,3,"Group-level",1,1,0,NA,0.0300691147434652
"5",0,4,"Group-level",1,1,0,NA,0.0300691147434652
"6",1,0,"Group-level",1,1,0.840000000000001,-0.147259765765942,0.142535681720365
"7",1,1,"Group-level",1,1,0.159999999999964,0.13665705009022,0.142535681720365
"8",1,2,"Group-level",1,1,0,NA,0.142535681720365
"9",1,3,"Group-level",1,1,0,NA,0.142535681720365
"10",1,4,"Group-level",1,1,0,NA,0.142535681720365
"11",2,0,"Group-level",1,1,0.704242424242371,-0.124831496306361,0.0935123708275578
"12",2,1,"Group-level",1,1,0.276363636363891,0.0974683913328553,0.0935123708275578
"13",2,2,"Group-level",1,1,0.0193939393938496,0.0267911771332244,0.0935123708275578
"14",2,3,"Group-level",1,1,0,NA,0.0935123708275578
"15",2,4,"Group-level",1,1,0,NA,0.0935123708275578
"16",3,0,"Group-level",1,1,0.589264069264061,-0.105624092368374,0.0622301360379888
"17",3,1,"Group-level",1,1,0.35750154607313,0.0659807716677001,0.0622301360379888
"18",3,2,"Group-level",1,1,0.0516512059372014,0.0368682031073847,0.0622301360379888
"19",3,3,"Group-level",1,1,0.00158317872521252,0.00275770950348542,0.0622301360379888
"20",3,4,"Group-level",1,1,0,NA,0.0622301360379888
"21",4,0,"Group-level",1,1,0.492065872272043,-0.0892036049363931,0.0458236242683228
"22",4,1,"Group-level",1,1,0.410472747674645,0.0409417661387833,0.0458236242683228
"23",4,2,"Group-level",1,1,0.0916183080543471,0.0424021282338992,0.0458236242683228
"24",4,3,"Group-level",1,1,0.0057777862779802,0.00572790944570711,0.0458236242683228
"25",4,4,"Group-level",1,1,6.52857209835211e-05,0.000131801118003622,0.0458236242683228
"26",5,0,"Group-level",1,1,0.410054893560054,-0.0751906184752481,0.036152921975554
"27",5,1,"Group-level",1,1,0.441174632927075,0.0212765891867906,0.036152921975554
