TX,t_y,Model,ParamSensitivity,ParamSpecificity,ProbMassFunc
0,0,"Item-level (0.7,1)",0.7,1,1
0,1,"Item-level (0.7,1)",0.7,1,0
0,2,"Item-level (0.7,1)",0.7,1,0
0,3,"Item-level (0.7,1)",0.7,1,0
0,4,"Item-level (0.7,1)",0.7,1,0
1,0,"Item-level (0.7,1)",0.7,1,0.888
1,1,"Item-level (0.7,1)",0.7,1,0.112
1,2,"Item-level (0.7,1)",0.7,1,0
1,3,"Item-level (0.7,1)",0.7,1,0
1,4,"Item-level (0.7,1)",0.7,1,0
2,0,"Item-level (0.7,1)",0.7,1,0.787878788
2,1,"Item-level (0.7,1)",0.7,1,0.202618182
2,2,"Item-level (0.7,1)",0.7,1,0.00950303
2,3,"Item-level (0.7,1)",0.7,1,0
2,4,"Item-level (0.7,1)",0.7,1,0
3,0,"Item-level (0.7,1)",0.7,1,0.698448485
3,1,"Item-level (0.7,1)",0.7,1,0.274739394
3,2,"Item-level (0.7,1)",0.7,1,0.026269091
3,3,"Item-level (0.7,1)",0.7,1,0.00054303
3,4,"Item-level (0.7,1)",0.7,1,0
4,0,"Item-level (0.7,1)",0.7,1,0.618632652
4,1,"Item-level (0.7,1)",0.7,1,0.330923961
4,2,"Item-level (0.7,1)",0.7,1,0.048388828
4,3,"Item-level (0.7,1)",0.7,1,0.002038883
4,4,"Item-level (0.7,1)",0.7,1,1.56751014643852e-05
5,0,"Item-level (0.7,1)",0.7,1,0.547456541
5,1,"Item-level (0.7,1)",0.7,1,0.373439617
5,2,"Item-level (0.7,1)",0.7,1,0.074245497
5,3,"Item-level (0.7,1)",0.7,1,0.004783399
5,4,"Item-level (0.7,1)",0.7,1,7.49465790077508e-05
6,0,"Item-level (0.7,1)",0.7,1,0.484038129
6,1,"Item-level (0.7,1)",0.7,1,0.404290638
6,2,"Item-level (0.7,1)",0.7,1,0.102480581
6,3,"Item-level (0.7,1)",0.7,1,0.008975657
6,4,"Item-level (0.7,1)",0.7,1,0.000214995
7,0,"Item-level (0.7,1)",0.7,1,0.427579896
7,1,"Item-level (0.7,1)",0.7,1,0.425244402
7,2,"Item-level (0.7,1)",0.7,1,0.131962783
7,3,"Item-level (0.7,1)",0.7,1,0.014733246
7,4,"Item-level (0.7,1)",0.7,1,0.000479673
8,0,"Item-level (0.7,1)",0.7,1,0.377361267
8,1,"Item-level (0.7,1)",0.7,1,0.437855574
8,2,"Item-level (0.7,1)",0.7,1,0.161760081
8,3,"Item-level (0.7,1)",0.7,1,0.0221058
8,4,"Item-level (0.7,1)",0.7,1,0.000917278
9,0,"Item-level (0.7,1)",0.7,1,0.332731685
9,1,"Item-level (0.7,1)",0.7,1,0.443488102
9,2,"Item-level (0.7,1)",0.7,1,0.191114612
9,3,"Item-level (0.7,1)",0.7,1,0.031086953
9,4,"Item-level (0.7,1)",0.7,1,0.001578648
10,0,"Item-level (0.7,1)",0.7,1,0.293104268
10,1,"Item-level (0.7,1)",0.7,1,0.443335212
10,2,"Item-level (0.7,1)",0.7,1,0.219420118
10,3,"Item-level (0.7,1)",0.7,1,0.041624857
10,4,"Item-level (0.7,1)",0.7,1,0.002515546
11,0,"Item-level (0.7,1)",0.7,1,0.257949984
11,1,"Item-level (0.7,1)",0.7,1,0.438437553
11,2,"Item-level (0.7,1)",0.7,1,0.246201746
11,3,"Item-level (0.7,1)",0.7,1,0.053631405
11,4,"Item-level (0.7,1)",0.7,1,0.003779312
12,0,"Item-level (0.7,1)",0.7,1,0.226792336
12,1,"Item-level (0.7,1)",0.7,1,0.42969965
12,2,"Item-level (0.7,1)",0.7,1,0.271097997
12,3,"Item-level (0.7,1)",0.7,1,0.066990284
12,4,"Item-level (0.7,1)",0.7,1,0.005419733
13,0,"Item-level (0.7,1)",0.7,1,0.199202488
13,1,"Item-level (0.7,1)",0.7,1,0.417904804
13,2,"Item-level (0.7,1)",0.7,1,0.293844608
13,3,"Item-level (0.7,1)",0.7,1,0.081563966
13,4,"Item-level (0.7,1)",0.7,1,0.007484134
14,0,"Item-level (0.7,1)",0.7,1,0.174794816
14,1,"Item-level (0.7,1)",0.7,1,0.403728567
14,2,"Item-level (0.7,1)",0.7,1,0.314260226
14,3,"Item-level (0.7,1)",0.7,1,0.097199752
14,4,"Item-level (0.7,1)",0.7,1,0.010016639
15,0,"Item-level (0.7,1)",0.7,1,0.153222842
15,1,"Item-level (0.7,1)",0.7,1,0.387750918
15,2,"Item-level (0.7,1)",0.7,1,0.332233681
15,3,"Item-level (0.7,1)",0.7,1,0.113734957
15,4,"Item-level (0.7,1)",0.7,1,0.013057602
16,0,"Item-level (0.7,1)",0.7,1,0.134175525
16,1,"Item-level (0.7,1)",0.7,1,0.370467242
16,2,"Item-level (0.7,1)",0.7,1,0.347712722
16,3,"Item-level (0.7,1)",0.7,1,0.131001337
16,4,"Item-level (0.7,1)",0.7,1,0.016643173
17,0,"Item-level (0.7,1)",0.7,1,0.117373873
17,1,"Item-level (0.7,1)",0.7,1,0.352298226
17,2,"Item-level (0.7,1)",0.7,1,0.360694082
17,3,"Item-level (0.7,1)",0.7,1,0.148828824
17,4,"Item-level (0.7,1)",0.7,1,0.020804995
18,0,"Item-level (0.7,1)",0.7,1,0.102567862
18,1,"Item-level (0.7,1)",0.7,1,0.33359876
18,2,"Item-level (0.7,1)",0.7,1,0.371214724
18,3,"Item-level (0.7,1)",0.7,1,0.167048655
18,4,"Item-level (0.7,1)",0.7,1,0.02557
19,0,"Item-level (0.7,1)",0.7,1,0.089533623
19,1,"Item-level (0.7,1)",0.7,1,0.314665925
19,2,"Item-level (0.7,1)",0.7,1,0.379344183
19,3,"Item-level (0.7,1)",0.7,1,0.185495961
19,4,"Item-level (0.7,1)",0.7,1,0.030960307
20,0,"Item-level (0.7,1)",0.7,1,0.078070889
20,1,"Item-level (0.7,1)",0.7,1,0.295746172
20,2,"Item-level (0.7,1)",0.7,1,0.385177868
20,3,"Item-level (0.7,1)",0.7,1,0.204011876
20,4,"Item-level (0.7,1)",0.7,1,0.036993195
21,0,"Item-level (0.7,1)",0.7,1,0.06800067
21,1,"Item-level (0.7,1)",0.7,1,0.27704173
21,2,"Item-level (0.7,1)",0.7,1,0.388831239
21,3,"Item-level (0.7,1)",0.7,1,0.222445217
21,4,"Item-level (0.7,1)",0.7,1,0.043681144
22,0,"Item-level (0.7,1)",0.7,1,0.059163137
22,1,"Item-level (0.7,1)",0.7,1,0.25871635
22,2,"Item-level (0.7,1)",0.7,1,0.390434775
22,3,"Item-level (0.7,1)",0.7,1,0.240653803
22,4,"Item-level (0.7,1)",0.7,1,0.051031936
23,0,"Item-level (0.7,1)",0.7,1,0.051415708
23,1,"Item-level (0.7,1)",0.7,1,0.240900418
23,2,"Item-level (0.7,1)",0.7,1,0.390129637
23,3,"Item-level (0.7,1)",0.7,1,0.258505437
23,4,"Item-level (0.7,1)",0.7,1,0.0590488
24,0,"Item-level (0.7,1)",0.7,1,0.04463131
24,1,"Item-level (0.7,1)",0.7,1,0.223695513
24,2,"Item-level (0.7,1)",0.7,1,0.388063962
